,,,,,,,,,,,,,,,
LyondellBasell Industries NV (LYB US) - Overview,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
In Millions of USD except Per Share,,FY 2010,FY 2011,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
Num of Independent Directors on Nomination Cmte,NUM_IND_DIR_ON_NOM_CMTE,2.00,3.00,3.00,3.00,4.00,5.00,4.00,4.00,5.00,5.00,4.00,4.00,4.00,4.00
Number of Nomination Committee Meetings,NUM_OF_NOMINATION_CMTE_MTG,1.00,7.00,5.00,5.00,4.00,8.00,4.00,3.00,3.00,3.00,4.00,5.00,4.00,4.00
Nomination Committee Meeting Attendance Percentage,NOMINATION_CMTE_MTG_ATTEND_PCT,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,—,85.00,95.00,100.00,90.00,93.00
    Growth (YoY),NOMINATION_CMTE_MTG_ATTEND_PCT,—,0.0,0.0,0.0,0.0,0.0,0.0,0.0,—,—,11.8,5.3,-10.0,3.3
,,,,,,,,,,,,,,,
Sustainability Governance,,,,,,,,,,,,,,,
Verification Type,VERIFICATION_TYPE,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes
Employee CSR Training,EMPLOYEE_CSR_TRAINING,No,No,No,No,No,No,No,No,No,No,No,No,No,No
,,,,,,,,,,,,,,,
Tenure,,,,,,,,,,,,,,,
Board Duration (Years),BOARD_DURATION,3.00,3.00,3.00,3.00,3.00,3.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
,,,,,,,,,,,,,,,
Source: Bloomberg,,Right click to show data transparency (not supported for all values),,,,,,,,,,,,,
